title,search_term_x,dog_order,dog_order_by_size,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed,breed_in_query,queries,term,suggestion,str_position,search_start,search_end_x,search_end_y,search_term_y,term_category,terms_grouped,question_order
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
Pomeranian,pomeranian,42,7,Toy,/search/breeds-a-to-z/breeds/toy/pomeranian/,/media/1658/pomeranian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810450000000,Medium,Up to 30 minutes per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pomeranian,why+does+my+pomeranian,why+does+my+pomeranian,why does my pomeranian eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
Pekingese,pekingese,41,8,Toy,/search/breeds-a-to-z/breeds/toy/pekingese/,/media/1656/pekingese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810270000000,Long,Up to 30 minutes per day,Every day,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pekingese,why+does+my+pekingese,why+does+my+pekingese,why does my pekingese eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
German Shepherd Dog,german+shepherd,27,11,Pastoral,/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/,/media/3259/german-shepherd-dog.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132186393170000000,Short & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,german+shepherd,why+does+my+german+shepherd,why+does+my+german+shepherd,why does my german shepherd eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
Border Terrier,border+terrier,9,21,Terrier,/search/breeds-a-to-z/breeds/terrier/border-terrier/,/media/1526/border-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779610000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,border+terrier,why+does+my+border+terrier,why+does+my+border+terrier,why does my border terrier eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
Beagle,beagle,4,23,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,beagle,why+does+my+beagle,why+does+my+beagle,why does my beagle eat poop,12,why does my,eat poop,eat poop,eat poop,behaviour,eat poop / eat his poop,21
Whippet,whippet,59,2,Hound,/search/breeds-a-to-z/breeds/hound/whippet/,/media/1405/whippet-illustration.png?mode=crop&anchor=center&width=81&height=81&rnd=132404261230000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,whippet,why+does+my+whippet,why+does+my+whippet,why does my whippet always look sad,12,why does my,always look sad,always look sad,always look sad,appearance,look sad,9
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,,vizsla,why+does+my+vizsla,why+does+my+vizsla,why does my vizsla whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
German Shorthaired Pointer,gsp,28,10,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,gsp,why+does+my+gsp,why+does+my+gsp,why does my gsp whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Doberman,doberman,25,12,Working,/search/breeds-a-to-z/breeds/working/dobermann/,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,doberman,why+does+my+doberman,why+does+my+doberman,why does my doberman whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Bichon Frise,bichon+frise,7,22,Toy,/search/breeds-a-to-z/breeds/toy/bichon-frise/,/media/1604/bichon-frise-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802390000000,Medium,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,bichon+frise,why+does+my+bichon+frise,why+does+my+bichon+frise,why does my bichon frise whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Belgian Malinois,belgian+malinois,5,18,,,,,,,,,Medium,,,,,belgian+malinois,why+does+my+belgian+malinois,why+does+my+belgian+malinois,why does my belgian malinois whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Basset Hound,basset+hound,3,19,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Australian Shepherd,australian+shepherd,2,20,Pastoral,/search/breeds-a-to-z/breeds/pastoral/australian-shepherd/,/media/1413/australian-shepherd-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470860000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,australian+shepherd,why+does+my+australian+shepherd,why+does+my+australian+shepherd,why does my australian shepherd whine so much,12,why does my,whine so much,whine so much,whine so much,noise,cry / groan / whine,60
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner have spots,12,why does my,have spots,have spots,have spots,appearance,have spots / brown spots,6
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner has bumps,12,why does my,has bumps,has bumps,has bumps,health,has lumps / bumps / hives,47
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner bite,12,why does my,bite,bite,bite,behaviour,bite,13
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,,vizsla,why+does+my+vizsla,why+does+my+vizsla,why does my vizsla bite,12,why does my,bite,bite,bite,behaviour,bite,13
Staffordshire Bull Terrier,staffy,56,3,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,staffy,why+does+my+staffy,why+does+my+staffy,why does my staffy puppy bite,12,why does my,bite,bite,bite,behaviour,bite,13
Samoyed,samoyed,48,7,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,samoyed,why+does+my+samoyed,why+does+my+samoyed,why does my samoyed bite,12,why does my,bite,bite,bite,behaviour,bite,13
Miniature Schnauzer,miniature+schnauzer,40,9,Utility,/search/breeds-a-to-z/breeds/utility/miniature-schnauzer/,/media/2960/miniature-schnauzer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143867930000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,miniature+schnauzer,why+does+my+miniature+schnauzer,why+does+my+miniature+schnauzer,why does my miniature schnauzer bite,12,why does my,bite,bite,bite,behaviour,bite,13
Chiweenie,chiweenie,17,17,,,,,,,,,Small,,,,,chiweenie,why+does+my+chiweenie,why+does+my+chiweenie,why does my chiweenie bite,12,why does my,bite,bite,bite,behaviour,bite,13
Cavapoo,cavapoo,15,19,,,,,,,,,Small,,,,,cavapoo,why+does+my+cavapoo,why+does+my+cavapoo,why does my cavapoo bite,12,why does my,bite,bite,bite,behaviour,bite,13
Bull Terrier,bull+terrier,12,16,Terrier,/search/breeds-a-to-z/breeds/terrier/bull-terrier/,/media/1529/bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143782960000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,bull+terrier,why+does+my+bull+terrier,why+does+my+bull+terrier,why does my bull terrier bite,12,why does my,bite,bite,bite,behaviour,bite,13
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,,vizsla,why+does+my+vizsla,why+does+my+vizsla,why does my vizsla shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Shiba Inu,shiba+inu,51,4,,,,,,,,,Medium,,,,,shiba+inu,why+does+my+shiba+inu,why+does+my+shiba+inu,why does my shiba inu shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Shar Pei,shar+pei,50,5,Utility,/search/breeds-a-to-z/breeds/utility/shar-pei/,/media/1737/shar-pei-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143870590000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,shar+pei,why+does+my+shar+pei,why+does+my+shar+pei,why does my shar pei shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Samoyed,samoyed,48,7,Pastoral,/search/breeds-a-to-z/breeds/pastoral/samoyed/,/media/1495/samoyed-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140638080000000,Medium,More than 2 hours per day,Every day,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,samoyed,why+does+my+samoyed,why+does+my+samoyed,why does my samoyed shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Rottweiler,rottweiler,47,3,Working,/search/breeds-a-to-z/breeds/working/rottweiler/,/media/2974/rottweiler-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238200000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,rottweiler,why+does+my+rottweiler,why+does+my+rottweiler,why does my rottweiler shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Retriever (Labrador),labrador,46,4,Gundog,/search/breeds-a-to-z/breeds/gundog/retriever-labrador/,/media/1185/retriever-labrador-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140433580000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,labrador,why+does+my+labrador,why+does+my+labrador,why does my labrador shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Mastiff,mastiff,39,6,Working,/search/breeds-a-to-z/breeds/working/mastiff/,/media/1803/masttiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144236750000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes,mastiff,why+does+my+mastiff,why+does+my+mastiff,why does my mastiff shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Labradoodle,labradoodle,35,8,,,,,,,,,Medium,,,,,labradoodle,why+does+my+labradoodle,why+does+my+labradoodle,why does my labradoodle shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Great Dane,great+dane,30,10,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,great+dane,why+does+my+great+dane,why+does+my+great+dane,why does my great dane shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
German Shorthaired Pointer,gsp,28,10,Gundog,/search/breeds-a-to-z/breeds/gundog/german-shorthaired-pointer/,/media/1164/german-shorthaired-pointer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140424900000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,gsp,why+does+my+gsp,why+does+my+gsp,why does my gsp shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Doberman,doberman,25,12,Working,/search/breeds-a-to-z/breeds/working/dobermann/,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,doberman,why+does+my+doberman,why+does+my+doberman,why does my doberman shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Dalmatian,dalmatian,24,11,Utility,/search/breeds-a-to-z/breeds/utility/dalmatian/,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No,dalmatian,why+does+my+dalmatian,why+does+my+dalmatian,why does my dalmatian shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Chiweenie,chiweenie,17,17,,,,,,,,,Small,,,,,chiweenie,why+does+my+chiweenie,why+does+my+chiweenie,why does my chiweenie shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Chihuahua,chihuahua,16,18,,,,,,,,,Small,,,,,chihuahua,why+does+my+chihuahua,why+does+my+chihuahua,why does my chihuahua shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Cane Corso,cane+corso,14,14,,,,,,,,,Large,,,,,cane+corso,why+does+my+cane+corso,why+does+my+cane+corso,why does my cane corso shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Bulldog,bulldog,13,15,Utility,/search/breeds-a-to-z/breeds/utility/bulldog/,/media/2913/bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812570000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,bulldog,why+does+my+bulldog,why+does+my+bulldog,why does my bulldog shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Bull Terrier,bull+terrier,12,16,Terrier,/search/breeds-a-to-z/breeds/terrier/bull-terrier/,/media/1529/bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143782960000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No,bull+terrier,why+does+my+bull+terrier,why+does+my+bull+terrier,why does my bull terrier shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Boxer,boxer,11,15,Working,/search/breeds-a-to-z/breeds/working/boxer/,/media/2918/boxer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872640000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,boxer,why+does+my+boxer,why+does+my+boxer,why does my boxer shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Bernese Mountain Dog,bernese+mountain+dog,6,16,Working,/search/breeds-a-to-z/breeds/working/bernese-mountain-dog/,/media/2919/bernese-mountain-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872230000000,Medium,Up to 1 hour per day,More than once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,bernese+mountain+dog,why+does+my+bernese+mountain+dog,why+does+my+bernese+mountain+dog,why does my bernese mountain dog shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Beagle,beagle,4,23,Hound,/search/breeds-a-to-z/breeds/hound/beagle/,/media/1353/beagle-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454670000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,beagle,why+does+my+beagle,why+does+my+beagle,why does my beagle shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Basset Hound,basset+hound,3,19,Hound,/search/breeds-a-to-z/breeds/hound/basset-hound/,/media/2911/basset-hound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140454040000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Large house,Either,No,basset+hound,why+does+my+basset+hound,why+does+my+basset+hound,why does my basset hound shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Akita,akita,1,17,Utility,/search/breeds-a-to-z/breeds/utility/akita/,/media/2907/akita-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812130000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,akita,why+does+my+akita,why+does+my+akita,why does my akita shed so much,12,why does my,shed so much,shed so much,shed so much,health,shed,56
Weimaraner,weimaraner,58,1,Gundog,/search/breeds-a-to-z/breeds/gundog/weimaraner/,/media/1199/weimaraner-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132410081670000000,Short & long,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,weimaraner,why+does+my+weimaraner,why+does+my+weimaraner,why does my weimaraner follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Vizsla,vizsla,57,1,,,,,,,,,Medium,,,,,vizsla,why+does+my+vizsla,why+does+my+vizsla,why does my vizsla follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Staffordshire Bull Terrier,staffy,56,3,Terrier,/search/breeds-a-to-z/breeds/terrier/staffordshire-bull-terrier/,/media/1589/staffordshire-bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143800790000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Small,Small/ medium garden,Small house,Either,No,staffy,why+does+my+staffy,why+does+my+staffy,why does my staffy follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Spaniel (English Springer),springer+spaniel,54,2,Gundog,/search/breeds-a-to-z/breeds/gundog/spaniel-english-springer/,/media/1193/spaniel-english-springer-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140437350000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Either,No,springer+spaniel,why+does+my+springer+spaniel,why+does+my+springer+spaniel,why does my springer spaniel follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Siberian Husky,husky,53,3,Working,/search/breeds-a-to-z/breeds/working/siberian-husky/,/media/2666/siberian-husky-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144238560000000,Short,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Large house,Country,No,husky,why+does+my+husky,why+does+my+husky,why does my husky follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Pug,pug,44,5,Toy,/search/breeds-a-to-z/breeds/toy/pug/,/media/1661/pug-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143810750000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No,pug,why+does+my+pug,why+does+my+pug,why does my pug follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Poodle (Miniature),poodle,43,6,Utility,/search/breeds-a-to-z/breeds/utility/poodle-miniature/,/media/2969/poodle-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143868850000000,Medium,Up to 1 hour per day,Every day,Over 12 years,No,Small,Small/ medium garden,Small house,Either,No,poodle,why+does+my+poodle,why+does+my+poodle,why does my poodle follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Jack Russell Terrier,jack+russell,34,12,Terrier,/search/breeds-a-to-z/breeds/terrier/jack-russell-terrier/,/media/1556/jack-russell-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143797020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Country,No,jack+russell,why+does+my+jack+russell,why+does+my+jack+russell,why does my jack russell follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Havanese,havanese,33,13,Toy,/search/breeds-a-to-z/breeds/toy/havanese/,/media/1631/havanese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143805500000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No,havanese,why+does+my+havanese,why+does+my+havanese,why does my havanese follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Great Dane,great+dane,30,10,Working,/search/breeds-a-to-z/breeds/working/great-dane/,/media/2663/great-dane.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132144234850000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No,great+dane,why+does+my+great+dane,why+does+my+great+dane,why does my great dane follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Goldendoodle,goldendoodle,29,9,,,,,,,,,Medium,,,,,goldendoodle,why+does+my+goldendoodle,why+does+my+goldendoodle,why does my goldendoodle follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
German Shepherd Dog,german+shepherd,27,11,Pastoral,/search/breeds-a-to-z/breeds/pastoral/german-shepherd-dog/,/media/3259/german-shepherd-dog.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132186393170000000,Short & long,More than 2 hours per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No,german+shepherd,why+does+my+german+shepherd,why+does+my+german+shepherd,why does my german shepherd follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Dalmatian,dalmatian,24,11,Utility,/search/breeds-a-to-z/breeds/utility/dalmatian/,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Short,More than 2 hours per day,Once a week,Over 12 years,Yes,Medium,Large garden,Large house,Either,No,dalmatian,why+does+my+dalmatian,why+does+my+dalmatian,why does my dalmatian follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Corgi,corgi,22,15,,,,,,,,,Small,,,,,corgi,why+does+my+corgi,why+does+my+corgi,why does my corgi follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Cocker Spaniel,cocker+spaniel,20,14,,,,,,,,,Medium,,,,,cocker+spaniel,why+does+my+cocker+spaniel,why+does+my+cocker+spaniel,why does my cocker spaniel follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Chow Chow,chow+chow,18,13,Utility,/search/breeds-a-to-z/breeds/utility/chow-chow/,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Medium,Up to 1 hour per day,Every day,Under 10 years,Yes,Large,Small/ medium garden,Large house,Country,No,chow+chow,why+does+my+chow+chow,why+does+my+chow+chow,why does my chow chow follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Chiweenie,chiweenie,17,17,,,,,,,,,Small,,,,,chiweenie,why+does+my+chiweenie,why+does+my+chiweenie,why does my chiweenie follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Cavapoo,cavapoo,15,19,,,,,,,,,Small,,,,,cavapoo,why+does+my+cavapoo,why+does+my+cavapoo,why does my cavapoo follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
Cane Corso,cane+corso,14,14,,,,,,,,,Large,,,,,cane+corso,why+does+my+cane+corso,why+does+my+cane+corso,why does my cane corso follow me everywhere,12,why does my,follow me everywhere,follow me everywhere,follow me everywhere,gets personal,follow me everywhere,36
