Breed In Query,Category,Coat length,Exercise,Grooming,Image,Lifespan,Link,Queries,Search Category,Search End,Search End (group),Search End (group) 1,Search Start,Search Term,Sheds,Size,Size of garden,Size of home,Suggestion,Term,Title,Town or country,Vulnerable native breed,Str Position
bullmastiff,Working,Short,More than 2 hours per day,Once a week,/media/2920/bullmastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872890000000,Under 10 years,/search/breeds-a-to-z/breeds/working/bullmastiff/,why+does+my+bullmastiff,odeur,fart so much,fart so much,fart so much,why does my,bullmastiff,Yes,Large,Large garden,Large house,why does my bullmastiff fart so much,why+does+my+bullmastiff,Bullmastiff,Either,No,12
bullmastiff,Working,Short,More than 2 hours per day,Once a week,/media/2920/bullmastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872890000000,Under 10 years,/search/breeds-a-to-z/breeds/working/bullmastiff/,why+does+my+bullmastiff,laziness,sleep so much,sleep so much,sleep so much,why does my,bullmastiff,Yes,Large,Large garden,Large house,why does my bullmastiff sleep so much,why+does+my+bullmastiff,Bullmastiff,Either,No,12
bullmastiff,Working,Short,More than 2 hours per day,Once a week,/media/2920/bullmastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872890000000,Under 10 years,/search/breeds-a-to-z/breeds/working/bullmastiff/,why+does+my+bullmastiff,0,lean on me,lean on me,lean on me,why does my,bullmastiff,Yes,Large,Large garden,Large house,why does my bullmastiff lean on me,why+does+my+bullmastiff,Bullmastiff,Either,No,12
bullmastiff,Working,Short,More than 2 hours per day,Once a week,/media/2920/bullmastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872890000000,Under 10 years,/search/breeds-a-to-z/breeds/working/bullmastiff/,why+does+my+bullmastiff,noise,pant so much,"pant all the time, pant so much, panting and 3 more",pant so much,why does my,bullmastiff,Yes,Large,Large garden,Large house,why does my bullmastiff pant so much,why+does+my+bullmastiff,Bullmastiff,Either,No,12
bullmastiff,Working,Short,More than 2 hours per day,Once a week,/media/2920/bullmastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872890000000,Under 10 years,/search/breeds-a-to-z/breeds/working/bullmastiff/,why+does+my+bullmastiff,0,,,,why does my,bullmastiff,Yes,Large,Large garden,Large house,why does my bullmastiff puppy,why+does+my+bullmastiff,Bullmastiff,Either,No,12
cavalier+king+charles+spaniel,Toy,Medium,Up to 1 hour per day,More than once a week,/media/1612/cavalier-king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803270000000,Over 12 years,/search/breeds-a-to-z/breeds/toy/cavalier-king-charles-spaniel/,why+does+my+cavalier+king+charles+spaniel,laziness,sleep so much,sleep so much,sleep so much,why does my,cavalier+king+charles+spaniel,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my cavalier king charles spaniel sleep so much,why+does+my+cavalier+king+charles+spaniel,Cavalier King Charles Spaniel,Either,No,12
cavalier+king+charles+spaniel,Toy,Medium,Up to 1 hour per day,More than once a week,/media/1612/cavalier-king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803270000000,Over 12 years,/search/breeds-a-to-z/breeds/toy/cavalier-king-charles-spaniel/,why+does+my+cavalier+king+charles+spaniel,odeur,smell,"niel smell, riever smell, s smell and 1 more","smell, smell bad, smell so bad and 1 more",why does my,cavalier+king+charles+spaniel,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my cavalier king charles spaniel smell,why+does+my+cavalier+king+charles+spaniel,Cavalier King Charles Spaniel,Either,No,12
cavalier+king+charles+spaniel,Toy,Medium,Up to 1 hour per day,More than once a week,/media/1612/cavalier-king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803270000000,Over 12 years,/search/breeds-a-to-z/breeds/toy/cavalier-king-charles-spaniel/,why+does+my+cavalier+king+charles+spaniel,noise,snore,snore,snore,why does my,cavalier+king+charles+spaniel,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my cavalier king charles spaniel snore,why+does+my+cavalier+king+charles+spaniel,Cavalier King Charles Spaniel,Either,No,12
cavalier+king+charles+spaniel,Toy,Medium,Up to 1 hour per day,More than once a week,/media/1612/cavalier-king-charles-spaniel-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143803270000000,Over 12 years,/search/breeds-a-to-z/breeds/toy/cavalier-king-charles-spaniel/,why+does+my+cavalier+king+charles+spaniel,noise,snore so much,snore so much,snore so much,why does my,cavalier+king+charles+spaniel,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my cavalier king charles spaniel snore so much,why+does+my+cavalier+king+charles+spaniel,Cavalier King Charles Spaniel,Either,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,noise,pant so much,"pant all the time, pant so much, panting and 3 more",pant so much,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow pant so much,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,odeur,stink,stink & y st bernard stink,"smell, smell bad, smell so bad and 1 more",why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow stink,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,noise,grunt,grunt,grunt,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow grunt,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,behaviour,follow me everywhere,follow me everywhere,follow me everywhere & follows me everywhere,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow follow me everywhere,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,laziness,sleep so much,sleep so much,sleep so much,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow sleep so much,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,behaviour,lick me,lick me & lick me so much,lick me,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow lick me,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,noise,sound like a pig,sound like a pig,sound like a pig,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow sound like a pig,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,odeur,smell,"niel smell, riever smell, s smell and 1 more","smell, smell bad, smell so bad and 1 more",why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow smell,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,noise,snore,snore,snore,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow snore,why+does+my+chow+chow,Chow Chow,Country,No,12
chow+chow,Utility,Medium,Up to 1 hour per day,Every day,/media/1680/chow-chow-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813130000000,Under 10 years,/search/breeds-a-to-z/breeds/utility/chow-chow/,why+does+my+chow+chow,health,keep shaking his head,keep shaking his head,keep shaking his head,why does my,chow+chow,Yes,Large,Small/ medium garden,Large house,why does my chow chow keep shaking his head,why+does+my+chow+chow,Chow Chow,Country,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,behaviour,lick me so much,lick me & lick me so much,lick me so much,why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund lick me so much,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,health,shake,"shake, shaking, shiver","keep shaking, s leg shake, shake and 3 more",why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund shake,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,behaviour,lick so much,lick so much,lick so much,why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund lick so much,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,noise,bark so much,"bark, bark at everything, bark at other s and 5 more","bark, bark at everything, bark at other s and 3 more",why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund bark so much,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,odeur,smell,"niel smell, riever smell, s smell and 1 more","smell, smell bad, smell so bad and 1 more",why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund smell,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,behaviour,keep licking me,keep licking me,"keep licking, keep licking her paws, keep licking his nose and 4 more",why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund keep licking me,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,noise,bark at other s,"bark, bark at everything, bark at other s and 5 more","bark, bark at everything, bark at other s and 3 more",why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund bark at other dogs,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,behaviour,lick my face,lick my face,lick my face,why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund lick my face,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,behaviour,bite me,bite me,bite me,why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund bite me,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dachshund,Hound,Medium,Up to 1 hour per day,More than once a week,/media/2926/dachshund-long-haired-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140456450000000,Over 12 years,/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/,why+does+my+dachshund,noise,keep crying,keep crying,keep crying,why does my,dachshund,Yes,Medium,Small/ medium garden,Small house,why does my dachshund keep crying,why+does+my+dachshund,Dachshund (Long Haired),Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,behaviour,follow me everywhere,follow me everywhere,follow me everywhere & follows me everywhere,why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian follow me everywhere,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,noise,whine all the time,"whine, whine all the time, whine so much and 1 more","whine, whine all the time, whine so much",why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian whine all the time,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,odeur,fart so much,fart so much,fart so much,why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian fart so much,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,health,shake,"shake, shaking, shiver","keep shaking, s leg shake, shake and 3 more",why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian shake,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,0,shed so much,"shed, shed so much, shedding a lot and 3 more",shed & shed so much,why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian shed so much,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,eating habits,eat grass,eat grass & niel eat grass,eat grass,why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian eat grass,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,0,smile,smile,smile,why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian smile,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,noise,bark so much,"bark, bark at everything, bark at other s and 5 more","bark, bark at everything, bark at other s and 3 more",why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian bark so much,why+does+my+dalmatian,Dalmatian,Either,No,12
dalmatian,Utility,Short,More than 2 hours per day,Once a week,/media/2935/dalmatian-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143813400000000,Over 12 years,/search/breeds-a-to-z/breeds/utility/dalmatian/,why+does+my+dalmatian,noise,pant so much,"pant all the time, pant so much, panting and 3 more",pant so much,why does my,dalmatian,Yes,Medium,Large garden,Large house,why does my dalmatian pant so much,why+does+my+dalmatian,Dalmatian,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,noise,whine so much,"whine, whine all the time, whine so much and 1 more","whine, whine all the time, whine so much",why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman whine so much,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,0,lean on me,lean on me,lean on me,why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman lean on me,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,behaviour,lick me,lick me & lick me so much,lick me,why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman lick me,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,noise,whine,"whine, whine all the time, whine so much and 1 more","whine, whine all the time, whine so much",why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman whine,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,health,shake,"shake, shaking, shiver","keep shaking, s leg shake, shake and 3 more",why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman shake,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,0,nibble me,nibble me,nibble me,why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman nibble me,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,behaviour,stare at me,stare at me,stare at me,why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman stare at me,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,odeur,smell so bad,smell bad & smell so bad,"smell, smell bad, smell so bad and 1 more",why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman smell so bad,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,0,shed so much,"shed, shed so much, shedding a lot and 3 more",shed & shed so much,why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman shed so much,why+does+my+doberman,Doberman,Either,No,12
doberman,Working,Short,More than 2 hours per day,Once a week,/media/2934/dobermann-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143876020000000,Over 10 years,/search/breeds-a-to-z/breeds/working/dobermann/,why+does+my+doberman,behaviour,follows me everywhere,follows me everywhere,follow me everywhere & follows me everywhere,why does my,doberman,Yes,Large,Large garden,Large house,why does my doberman follows me everywhere,why+does+my+doberman,Doberman,Either,No,12
fox+terrier,Terrier,Short,Up to 1 hour per day,Once a week,/media/1546/fox-terrier-smooth-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143789810000000,Over 12 years,/search/breeds-a-to-z/breeds/terrier/fox-terrier-smooth/,why+does+my+fox+terrier,health,shake,"shake, shaking, shiver","keep shaking, s leg shake, shake and 3 more",why does my,fox+terrier,Yes,Small,Small/ medium garden,Small house,why does my fox terrier shake,why+does+my+fox+terrier,Fox Terrier (Smooth),Either,Yes,12
fox+terrier,Terrier,Short,Up to 1 hour per day,Once a week,/media/1546/fox-terrier-smooth-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143789810000000,Over 12 years,/search/breeds-a-to-z/breeds/terrier/fox-terrier-smooth/,why+does+my+fox+terrier,odeur,smell,"niel smell, riever smell, s smell and 1 more","smell, smell bad, smell so bad and 1 more",why does my,fox+terrier,Yes,Small,Small/ medium garden,Small house,why does my fox terrier smell,why+does+my+fox+terrier,Fox Terrier (Smooth),Either,Yes,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,health,keep being sick,keep being sick,keep being sick,why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog keep being sick,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,odeur,fart so much,fart so much,fart so much,why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog fart so much,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,appearance,have a long tail,have a long tail,have a long tail,why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog have a long tail,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,behaviour,keep licking me,keep licking me,"keep licking, keep licking her paws, keep licking his nose and 4 more",why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog keep licking me,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,odeur,smell,"niel smell, riever smell, s smell and 1 more","smell, smell bad, smell so bad and 1 more",why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog smell,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,health,shake,"shake, shaking, shiver","keep shaking, s leg shake, shake and 3 more",why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog shake,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,appearance,have red eyes,have red eyes,have red eyes,why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog have red eyes,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,behaviour,keep scratching,keep scratching & keeps scratching,"keep scratching, keep scratching his ears, keeps scratching and 4 more",why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog keep scratching,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,behaviour,keep licking her paws,keep licking her paws,"keep licking, keep licking her paws, keep licking his nose and 4 more",why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog keep licking her paws,why+does+my+french+bulldog,French Bulldog,Either,No,12
french+bulldog,Utility,Short,Up to 1 hour per day,Once a week,/media/2939/french-bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143848790000000,Over 10 years,/search/breeds-a-to-z/breeds/utility/french-bulldog/,why+does+my+french+bulldog,noise,keep panting,keep panting,keep panting,why does my,french+bulldog,Yes,Small,Small/ medium garden,Flat/ Apartment,why does my french bulldog keep panting,why+does+my+french+bulldog,French Bulldog,Either,No,12
